Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-406.4072	-730.4607	324.0535	2.307879	1.828294	0.818262	0.181738	0.8812051
6	-390.4709	-715.5068	325.0359	1.721046	0.4617	0.677187	0.322813	1.679402
12	-394.8711	-720.4335	325.5624	1.722653	0.5352412	0.818912	0.181088	1.176297
18	-403.3541	-727.0199	323.6658	1.371948	0.7326496	0.78257	0.21743	2.547806
24	-395.1882	-719.2784	324.0901	1.315744	1.245829	0.895459	0.104541	1.973632
30	-394.1001	-717.1049	323.0049	1.72222	5.294431	0.82207	0.17793	1.14815
36	-401.7486	-726.2829	324.5343	2.143922	1.390808	0.489604	0.510396	0.8678318
42	-391.4394	-717.4798	326.0404	1.923997	0.319418	0.843814	0.156186	0.9086939
48	-396.534	-720.6663	324.1323	1.395242	0.7203467	0.946786	0.053214	2.248083
54	-395.5989	-719.3016	323.7027	1.478253	1.630213	0.813707	0.186293	1.928063
60	-387.6576	-711.275	323.6174	1.579798	2.158032	0.93807	0.0619302	1.692464
66	-400.7512	-724.7772	324.026	1.625885	1.077478	0.882928	0.117072	1.909359
72	-398.0836	-723.0476	324.964	1.513512	1.077478	0.961868	0.0381319	1.306997
78	-408.9316	-733.1614	324.2298	1.285163	0.9922096	0.861294	0.138706	2.056467
84	-413.7707	-737.9969	324.2263	1.498917	1.318727	0.903067	0.0969327	1.712944
90	-405.0228	-729.4188	324.3961	1.83854	1.312831	0.873834	0.126166	1.336569
96	-431.7446	-756.5145	324.7699	1.844408	1.196529	0.736472	0.263528	1.096974
102	-403.1639	-727.5443	324.3803	1.971487	1.762515	0.749633	0.250367	0.9384297
108	-393.6063	-718.8648	325.2586	1.839658	0.9695832	0.931656	0.0683443	0.8111966
114	-398.8818	-723.2549	324.3731	2.205486	1.587518	0.951573	0.0484271	0.8111966
120	-383.8653	-708.2956	324.4303	2.205486	1.587518	0.869465	0.130535	0.7296358
126	-401.1821	-725.7923	324.6102	2.170125	1.409092	0.66574	0.33426	0.7076773
132	-403.2705	-726.9804	323.7099	1.344041	0.8349558	0.894878	0.105122	2.461031
138	-404.1105	-727.7376	323.6271	1.065791	0.8349558	0.7418	0.2582	2.685141
144	-415.0115	-740.0759	325.0644	2.412562	0.7415854	0.775253	0.224747	0.5974249
150	-412.1912	-737.1828	324.9916	1.348885	0.3417385	0.962536	0.0374641	2.119759
156	-410.6074	-736.5022	325.8948	1.483089	0.2062501	0.760111	0.239889	1.642206
162	-398.1852	-724.0427	325.8575	1.689833	0.5412616	0.948614	0.0513864	0.9146712
168	-415.7166	-741.1981	325.4815	1.895534	0.5966076	0.722226	0.277774	1.005235
174	-421.6651	-747.4965	325.8314	1.961735	0.4442723	0.823629	0.176371	0.8155116
180	-401.7688	-726.2896	324.5208	1.961735	0.7375474	0.861032	0.138968	1.584972
186	-408.64	-733.0429	324.4029	1.272235	0.6505023	0.89983	0.10017	2.212492
192	-420.3161	-745.3755	325.0594	1.937838	0.9845045	0.7214	0.2786	0.9134945
198	-421.8676	-746.1735	324.3059	1.631636	1.718232	0.900357	0.0996428	1.337101
204	-408.5644	-733.1947	324.6303	1.750873	1.069622	0.74303	0.25697	1.389519
210	-418.9612	-742.1459	323.1847	1.598092	3.257486	0.934401	0.0655995	1.622493
216	-408.739	-733.8849	325.1459	1.844962	0.7148162	0.930428	0.0695717	1.210443
222	-393.0181	-717.9678	324.9496	1.720895	0.464865	0.75842	0.24158	1.736584
228	-402.1436	-726.1264	323.9828	1.840636	2.693529	0.913604	0.0863964	0.9613484
234	-398.3849	-722.7615	324.3766	1.93013	1.052822	0.782593	0.217407	1.459208
240	-419.059	-744.7117	325.6526	1.58029	0.4258176	0.858815	0.141185	1.372869
246	-407.4922	-731.8615	324.3693	1.291991	1.270233	0.87112	0.12888	1.785592
252	-388.301	-712.5293	324.2283	1.610938	2.025119	0.85164	0.14836	1.262548
258	-383.4499	-708.5948	325.1449	2.038519	0.9223068	0.839989	0.160011	0.7618852
264	-383.3698	-707.4932	324.1234	1.695479	1.942382	0.793991	0.206009	1.31907
270	-412.5313	-735.7904	323.2591	1.657244	3.540507	0.869174	0.130826	1.44255
276	-416.6844	-741.3517	324.6672	1.603702	1.523435	0.754722	0.245278	1.171803
282	-416.3579	-741.7242	325.3663	1.634388	0.7123039	0.758645	0.241355	1.204763
288	-405.3339	-729.1427	323.8088	1.502163	2.811179	0.975631	0.0243687	1.366737
294	-397.5907	-721.4906	323.8998	2.381056	2.095057	0.920815	0.0791853	0.7825211
300	-393.2036	-717.1512	323.9476	2.247183	1.854963	0.795713	0.204287	1.038001
306	-387.2377	-711.8641	324.6263	2.023475	1.437795	0.794018	0.205982	0.8586914
312	-401.9218	-725.9919	324.0701	2.089446	2.093655	0.843705	0.156295	0.9298619
318	-391.9764	-717.1904	325.214	1.869972	0.6575326	0.808286	0.191714	1.195469
324	-398.1849	-722.3781	324.1932	1.58702	1.354012	0.696221	0.303779	1.65366
330	-419.0054	-745.5238	326.5184	1.783011	0.1881878	0.482001	0.517999	0.9154725
