Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-402.6926	-726.8556	324.1629	1.589257	1.123994	0.658837	0.341163	1.811131
6	-412.9223	-737.0668	324.1446	1.859525	1.291329	0.847002	0.152998	1.527364
12	-398.8069	-722.3781	323.5712	1.587883	2.572572	0.886019	0.113981	1.566035
18	-402.2052	-725.9192	323.7139	1.846782	2.866612	0.952368	0.0476323	1.137921
24	-411.1782	-734.8053	323.6271	1.633606	3.711448	0.580952	0.419048	1.106711
30	-406.6358	-729.9803	323.3445	2.129407	3.153061	0.864243	0.135757	1.106711
36	-406.7263	-729.9437	323.2174	1.791859	4.604698	0.815954	0.184046	1.069028
42	-418.6935	-743.1778	324.4843	2.216631	1.230543	0.769055	0.230945	0.9852268
48	-405.9081	-729.24	323.3319	2.280805	3.444301	0.784307	0.215693	0.8451416
54	-394.2371	-716.9044	322.6672	1.791819	4.668245	0.965533	0.034467	1.505999
60	-398.4969	-722.3219	323.8249	1.387594	3.184682	0.927322	0.0726779	1.318499
66	-396.7812	-720.8006	324.0195	1.688176	1.804319	0.762305	0.237695	1.472275
72	-399.791	-725.1138	325.3228	1.91952	0.8070759	0.781977	0.218023	0.8535038
78	-401.2676	-726.432	325.1645	1.959481	0.7871566	0.842735	0.157265	1.007304
84	-413.4134	-736.313	322.8996	2.108645	5.542329	0.880145	0.119855	0.7847227
90	-417.1537	-742.6027	325.449	2.057943	0.6882503	0.544809	0.455191	0.685055
96	-406.6157	-731.7391	325.1234	1.961047	1.079059	0.768991	0.231009	0.6647249
102	-417.6559	-740.306	322.6501	1.172193	1.520608	0.948623	0.0513774	2.839745
108	-409.2499	-731.699	322.4491	1.373168	1.520608	0.868479	0.131521	2.839745
114	-409.6891	-731.0065	321.3174	1.406273	4.398893	0.811742	0.188258	2.708021
120	-406.6778	-729.1834	322.5057	1.504225	1.559962	0.929972	0.0700279	2.708021
126	-419.3234	-742.2454	322.9221	1.403371	1.162991	0.826234	0.173766	2.708021
132	-392.7183	-717.6023	324.884	2.120206	1.067849	0.83036	0.16964	0.8073815
138	-385.647	-710.7127	325.0657	2.203158	0.8521864	0.925991	0.0740089	0.7490357
144	-392.3887	-717.4543	325.0657	2.203158	0.8521864	0.854969	0.145031	0.7490357
150	-391.3485	-716.4613	325.1128	2.203158	0.8521864	0.888938	0.111062	0.6689362
156	-393.2317	-718.187	324.9553	2.272193	0.9438622	0.879641	0.120359	0.6460912
162	-393.6248	-718.5294	324.9047	2.492677	0.8017662	0.56448	0.43552	0.3993815
168	-401.1665	-725.9925	324.8261	2.376101	0.9734872	0.788145	0.211855	0.6339758
174	-392.8368	-718.4008	325.564	2.33723	0.446089	0.758888	0.241112	0.6339758
